year,transect,site,treat,plot,Source,plant,tbo,Ln.tot,Fr.tot,aveseed1,aveseed2,totgoodseed,totbadseed,plotID,subplotID
2011,HB,M,TR,9,H,1.5,0,11,6,12.16666667,NA,73,0,HB.M.9,HB.M.9.H
2011,HB,M,TR,9,L,1.1,0,19,11,9.909090909,NA,109,2,HB.M.9,HB.M.9.L
2011,HB,M,TR,9,L,4.5,0,30,10,5.818181818,NA,58,13.63636364,HB.M.9,HB.M.9.L
2011,HB,M,TR,9,M,5.3,0,13,7,5.428571429,NA,38,4,HB.M.9,HB.M.9.M
2012,HB,A,OTC,22,M,1.3,0,12,4,5.5,NA,22,10,HB.A.22,HB.A.22.M
2012,HB,A,OTC,22,M,1.5,0,28,8,5.416666667,5,43,18.66666667,HB.A.22,HB.A.22.M
2012,HB,A,OTC,22,M,3.3A,0,17,7,12.5,NA,88,3.5,HB.A.22,HB.A.22.M
2012,HB,A,TR,13,F,1.4,0,8,1,2,NA,2,0,HB.A.13,HB.A.13.F
2012,HB,A,TR,21,F,5.1,0,11,1,3,NA,3,0,HB.A.21,HB.A.21.F
2012,HB,H,OTC,16,H,2.1,0,14,3,11.33333333,NA,34,1,HB.H.16,HB.H.16.H
2012,HB,H,OTC,28,H,3.5,0,8,1,7,NA,7,0,HB.H.28,HB.H.28.H
2012,HB,H,OTC,28,H,4.3,0,12,4,7,NA,28,9,HB.H.28,HB.H.28.H
2012,HB,H,OTC,28,H,4.5,0,9,2,11,NA,22,0,HB.H.28,HB.H.28.H
