transect,site,yrplanted,plot,Source,year,yrEm,treat,nseed.orig,nseed.rem,nEm,nFlwr,nR,avLn1new,avJnew,excl.str
NK,HE,2011,23,E,2013,2,dormant,25,25,2,1,1,1.5,173.5,keep
NK,HE,2011,23,E,2014,3,dormant,25,23,2,1,0,4.5,190,keep
NK,HE,2011,23,E,2015,4,dormant,25,21,0,NA,NA,NA,NA,keep
NK,HE,2011,23,F,2013,2,dormant,25,20,7,4,2,2,174.7142857,keep
NK,HE,2011,23,F,2014,3,dormant,25,13,0,NA,NA,NA,NA,keep
NK,HE,2011,23,F,2015,4,dormant,25,13,0,NA,NA,NA,NA,keep
NK,HE,2011,23,MT,2013,2,dormant,25,24,5,2,2,3,179.6,keep
NK,HE,2011,23,MT,2014,3,dormant,25,19,0,NA,NA,NA,NA,keep
NK,HE,2011,23,MT,2015,4,dormant,25,19,0,NA,NA,NA,NA,keep
NK,HE,2011,24,M,2013,2,dormant,25,16,0,NA,NA,NA,NA,keep
NK,HE,2011,24,H,2013,2,dormant,25,21,1,0,0,1,168,keep
NK,HE,2011,25,L,2013,2,dormant,25,10,0,NA,NA,NA,NA,keep
NK,HE,2011,25,L,2014,3,dormant,25,10,1,0,0,2,190,keep
NK,HE,2011,25,L,2015,4,dormant,25,9,0,NA,NA,NA,NA,keep
NK,HE,2011,25,M,2013,2,dormant,25,10,0,NA,NA,NA,NA,keep
NK,HE,2011,25,M,2014,3,dormant,25,10,0,NA,NA,NA,NA,keep
NK,HE,2011,25,M,2015,4,dormant,25,10,1,NA,NA,NA,200,keep
NK,HE,2011,25,H,2013,2,dormant,25,10,1,0,0,1,168,keep
NK,HE,2011,25,H,2014,3,dormant,25,9,0,NA,NA,NA,NA,keep
